sltpt,time
2856,0.32
2984,0.30
2984,0.32
2984,0.30
2984,0.31
2963,0.30
2963,0.30
2963,0.30
2963,0.30
2937,0.32
2937,0.31
2937,0.30
2937,0.30
2937,0.31
2937,0.32
2937,0.31
2937,0.30
2937,0.30
2937,0.31
2947,0.31
2947,0.31
2947,0.29
2947,0.31
2947,0.29
2947,0.30
2947,0.30
2947,0.30
2947,0.31
2947,0.31
2997,0.30
2997,0.31
2997,0.30
2997,0.30
2997,0.30
2997,0.30
2997,0.31
2997,0.30
2997,0.30
2997,0.31
2997,0.30
2953,0.30
2953,0.31
2953,0.31
2953,0.31
2953,0.31
2953,0.31
2953,0.32
2953,0.30
2953,0.30
2953,0.31
2831,0.31
2831,0.30
2831,0.31
2831,0.30
2936,0.30
2936,0.31
2936,0.31
2936,0.31
2936,0.30
2936,0.31
2936,0.30
2936,0.30
2936,0.30
2936,0.30
2936,0.30
3063,0.31
3063,0.31
3063,0.31
3063,0.31
2906,0.31
2906,0.31
2906,0.30
2906,0.30
2906,0.31
2906,0.31
2906,0.30
2906,0.30
2906,0.31
2906,0.30
2906,0.30
2946,0.32
2946,0.31
2946,0.31
2946,0.30
2946,0.30
2946,0.31
2946,0.30
2946,0.30
2946,0.30
2946,0.30
2946,0.30
2930,0.30
